year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,_csv_row
2024,3,23,6,2024-03-23,WN,4120.0,BWI,"Baltimore, MD",Maryland,FLL,"Fort Lauderdale, FL",Florida,1555,1644.0,49.0,11.0,1655.0,1920.0,127.0,1835,2127.0,172.0,0,,0,160.0,285.0,147.0,925.0,13,0,123,0,36,1501258
2024,3,23,6,2024-03-23,WN,873.0,SJU,"San Juan, PR",Puerto Rico,FLL,"Fort Lauderdale, FL",Florida,1530,1700.0,90.0,25.0,1725.0,2003.0,121.0,1830,2204.0,214.0,0,,0,180.0,307.0,161.0,1046.0,0,0,124,0,90,1502464
2024,3,26,2,2024-03-26,WN,5922.0,BWI,"Baltimore, MD",Maryland,DAL,"Dallas, TX",Texas,2040,2112.0,32.0,10.0,2122.0,2332.0,5.0,2310,2337.0,27.0,0,,0,210.0,379.0,364.0,1209.0,20,0,0,0,7,1560388
2024,4,15,1,2024-04-15,WN,2147.0,RDU,"Raleigh/Durham, NC",North Carolina,DEN,"Denver, CO",Colorado,1750,1749.0,-1.0,9.0,1758.0,1930.0,15.0,1940,1945.0,5.0,0,,0,230.0,410.0,386.0,1436.0,0,0,0,0,0,1946122
2024,4,20,6,2024-04-20,WN,2074.0,ATL,"Atlanta, GA",Georgia,HOU,"Houston, TX",Texas,900,856.0,-4.0,12.0,908.0,958.0,3.0,1010,1001.0,-9.0,0,,0,130.0,116.0,101.0,696.0,0,0,0,0,0,2042473
2024,4,22,1,2024-04-22,AA,1613.0,SJU,"San Juan, PR",Puerto Rico,MIA,"Miami, FL",Florida,1341,2238.0,537.0,14.0,2252.0,122.0,4.0,1646,126.0,530.0,0,,0,175.0,168.0,150.0,1045.0,0,0,0,0,530,2066794
2024,4,28,7,2024-04-28,AA,1948.0,DFW,"Dallas/Fort Worth, TX",Texas,SAN,"San Diego, CA",California,1726,1740.0,14.0,16.0,1756.0,1838.0,4.0,1857,1842.0,9.0,0,,0,187.0,182.0,162.0,1171.0,0,0,0,0,0,2183094
2024,4,30,2,2024-04-30,AA,2056.0,SAN,"San Diego, CA",California,CLT,"Charlotte, NC",North Carolina,2220,940.0,680.0,18.0,958.0,1705.0,16.0,548,1721.0,679.0,0,,0,282.0,281.0,247.0,2077.0,0,679,0,0,0,2223500
2024,4,30,2,2024-04-30,WN,1291.0,AUS,"Austin, TX",Texas,DAL,"Dallas, TX",Texas,1950,2002.0,12.0,7.0,2009.0,2051.0,5.0,2055,2056.0,1.0,0,,0,65.0,197.0,185.0,189.0,0,0,0,0,0,2235904
2024,5,5,7,2024-05-05,WN,2189.0,PDX,"Portland, OR",Oregon,DEN,"Denver, CO",Colorado,2005,2057.0,52.0,9.0,2106.0,12.0,8.0,2335,20.0,45.0,0,,0,150.0,319.0,302.0,991.0,0,0,45,0,0,2333871
